Station Code,English Name,Latitude,Longitude,1,Line Code
CSW,Cheung Sha Wan,22.3354,114.1563,3,TWL
SSP,Sham Shui Po,22.3307,114.1623,3,TWL
PRE,Prince Edward,22.3245,114.1683,3,TWL
MOK,Mong Kok,22.3191,114.1694,3,TWL
YMT,Yau Ma Tei,22.3129,114.1707,3,TWL
JOR,Jordan,22.3049,114.1718,3,TWL
TST,Tsim Sha Tsui,22.2973,114.1722,3,TWL
ADM,Admiralty,22.2788,114.1646,5,TWL
CEN,Central,22.282,114.1576,3,TWL
,,,,,
SOH,South Horizons,22.2425,114.1491,-,SIL
LET,Lei Tung,22.2421,114.1562,4,SIL
WCH,Wong Chuk Hang,22.248,114.1681,4,SIL
OCP,Ocean Park,22.2486,114.1743,4,SIL
ADM,Admiralty,22.2788,114.1646,6,SIL
,,,,,
CEN,Central,22.282,114.1576,-,WLK
HOK,Hong Kong,22.2851469,114.1584546,8,WLK 
TST,Tsim Sha Tsui,22.2973,114.1722,-,WLK
ETS,East Tsim Sha Tsui,22.2952166,114.1746402,6,WLK
